#Temperature             Resistance
#(Kelvin)                (Ohms)
1.19952615155647E+00   1.22497830763621E+05
1.29831030485924E+00   9.36798204168192E+04
1.39843906938097E+00   7.38279480003733E+04
1.59925672636341E+00   4.93255105701738E+04
1.79950747467088E+00   3.56873655524431E+04
1.99880743695419E+00   2.73525917453744E+04
2.19895798406523E+00   2.18103237821360E+04
2.39979990759743E+00   1.79307216075780E+04
2.59965203642992E+00   1.51200660813510E+04
2.80051845716017E+00   1.30003653972911E+04
2.99613600693046E+00   1.14010037724268E+04
3.19045982297878E+00   1.01385024600008E+04
3.39614246729314E+00   9.06019163317353E+03
3.59278567392220E+00   8.21478189133485E+03
3.79720629069068E+00   7.48398642088127E+03
3.99813926454250E+00   6.87870693167825E+03
4.21122611192296E+00   6.33310102948870E+03
4.63014222807675E+00   5.48550341127306E+03
5.01112648058578E+00   4.88635570941956E+03
5.51022548457671E+00   4.27939383692491E+03
6.02198962333037E+00   3.80039379309183E+03
7.07987113549381E+00   3.10060851623923E+03
8.07208251738223E+00   2.65503892731081E+03
9.09033084386781E+00   2.32301962629353E+03
1.01154074165928E+01   2.07009563809827E+03
1.11405850631289E+01   1.87174902367212E+03
1.21597387603658E+01   1.71250293100802E+03
1.31739294856324E+01   1.58142499493741E+03
1.41761267531110E+01   1.47240046912495E+03
1.51689718756928E+01   1.37983054229811E+03
1.61590722429657E+01   1.29958431138261E+03
1.71411949187155E+01   1.22955948058580E+03
1.81210119940237E+01   1.16758713294247E+03
1.90980627172148E+01   1.11226239682981E+03
2.00786704451992E+01   1.06212813369052E+03
2.11608210654081E+01   1.01235983990416E+03
2.27432243304877E+01   9.48184045974118E+02
2.43638335267398E+01   8.90779677548548E+02
2.60403371970783E+01   8.38948608520003E+02
2.77032655221816E+01   7.93448656572761E+02
2.93543647758474E+01   7.53249551644525E+02
3.11957101701272E+01   7.13144619652241E+02
3.33284349163239E+01   6.72080951537184E+02
3.63529816036012E+01   6.21578294986786E+02
3.93561300521835E+01   5.78857617745266E+02
4.23629389257252E+01   5.41865130741735E+02
4.53571139527706E+01   5.09639769231657E+02
4.83606051800044E+01   4.81107420441268E+02
5.03507769413604E+01   4.63994669318382E+02
5.53425080538887E+01   4.26178215426232E+02
6.03404349064742E+01   3.94215479582478E+02
6.53346919908730E+01   3.66939168087222E+02
7.03289165043592E+01   3.43317656287491E+02
7.53163759079478E+01   3.22666386945238E+02
8.03086284341114E+01   3.04408483793943E+02
8.53034950444373E+01   2.88155450557815E+02
9.02968715463440E+01   2.73550960064187E+02
9.52926000409021E+01   2.60379769521422E+02
1.00301544296249E+02   2.48402987284440E+02
1.10293687563159E+02   2.27531154745375E+02
1.20294302255526E+02   2.09885443754219E+02
1.30295696128086E+02   1.94764596749388E+02
1.40297563853399E+02   1.81649562217231E+02
1.50301476357135E+02   1.70170435839111E+02
1.60313970921042E+02   1.60034592905399E+02
1.70321855944439E+02   1.51030275663038E+02
1.80331077491320E+02   1.42998344446376E+02
1.90329572058256E+02   1.35768070269788E+02
2.00345769705541E+02   1.29224995052447E+02
2.10360668474919E+02   1.23308990781221E+02
2.20357976382797E+02   1.17922713036298E+02
2.30350029201526E+02   1.13007389210025E+02
2.40327603174559E+02   1.08501027792731E+02
2.50292639973072E+02   1.04370702503468E+02
2.60279205134660E+02   1.00540342472619E+02
2.70283607431968E+02   9.70069727733533E+01
2.80290307958951E+02   9.37279680032950E+01
2.90313041147795E+02   9.06758433276829E+01
3.00329231833845E+02   8.78339327612887E+01
3.10342493979449E+02   8.51855463665193E+01
3.15361472410925E+02   8.39293822140890E+01
3.20364687548788E+02   8.27176517152134E+01
3.26367896276932E+02   8.13068268238857E+01
3.30382459526153E+02   8.03975673271155E+01
